Name,Description
Auditory,Conditions relating to hearing
Cognitive,Conditions relating to cognitive processing
Dietary,Conditions related to eating and drinking
Learning,Conditions relating to understanding and interpreting content and concepts
Mobility,Conditions relating to moving around
Motor,Conditions relating to manipulating objects
Safety,Conditions which place an individual at risk of harm
Sensory,"Conditions where an individual has a physical, emotional, or psychological reaction to an environmental factor "
Visual,Conditions relating to sight
Vocal,Conditions relating to speech
