Usage Category,Requirements for Use,Addison's disease,Aging,Albinism,Alcoholism,Alzheimer's disease,Amputation,Amyotrophic lateral sclerosis (ALS) ,Lou Gehrig's disease,Anxiety disorder,Aphasia,Arthritis,Asthma,Ataxia,Attention deficit / hyperactivity disorder (AD/HD),Auditory processing disorder,Autism spectrum,Back impairment,Bipolar disorder,Bladder impairment,Bleeding disorder,Blind,Brain injury,Concussion ,Head injury,Burn injury,Cancer,Cataplexy,Cerebral palsy,Charcot-Marie-Tooth disease,Chronic fatigue syndrome,Myalgic encephalomyelitis,Chronic pain,Colorblind,Color vision deficiency,COVID-19,Cumulative trauma conditions,Deaf,Deaf-blind,Depression,Diabetes,Drug addiction,Dyscalculia,Dyslexia,Dysgraphia,Dystonia,Eating disorders,Ehlers-Danlos syndrome,Electrical sensitivity,Epilepsy,Seizure disorder,Essential tremors,Fetal alcohol syndrome,Fibromyalgia,Food allergy,Fragrance sensitivity,Gastro esophageal reflux disease (GERD),Acid reflux,Heartburn,Gastrointestinal disorders,Graves' disease,Guillain Barre' syndrome,Hand amputation,Hearing impairment,Hard-of-hearing,Cardiovascular disease,Heart condition,Hepatitis,Human immunodeficiency virus (HIV),Huntington's disease,Intellectual impairient,Latex allergy,Learning disability,Leg impairment,Little person,Low vision,Lupus,Lyme disease,Marfan syndrome,Mental health conditions,Migraines,Multiple chemical sensitivity,Multiple sclerosis,Muscular dystrophy,Mutism,Myasthenia gravis,Obesity,Obsessive compulsive disorder (OCD),Paraplegia,Parkinson's disease,Personality disorder,Phobias,Poliomyelitis,Polio,Post polio,Post-traumatic stress disorder (PTSD),Postural Oorthostatic tachycardia syndrome (POTS),Pregnancy,Quadriplegia,Raynaud's disease,Reflex sympathetic dystrophy (RSD),Renal/ kidney disease,Respiratory impairments,Sarcoidosis,Schizophrenia,Seasonal affective disorder (SAD),Shingles,Sickle cell anemia,Skin conditions,Sleep disorder,Speech-language impairment,Spina bifida,Stroke,Stuttering,Thyroid disorders,Tourette syndrome,Vertigo,Benign paroxysmal positional vertigo (BPPV),Vestibular neuritis ,Persistent postural-perceptual dizziness,Meniere,Acoustic neuroma,Ramsay Hunt syndrome
Auditory,Limited hearing & auditory processing,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,X
Auditory,Without hearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cognitive,Limited attention & concentration,,X,,X,,,,,X,,,,,X,X,X,,X,,,,X,X,X,,,,,,,,,,,,,,,X,,X,,,,,X,,X,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,X,,,X,,,X,,,,,X,,,,X,,,,X,X,,,,,,,,X,X,,,,X,,,X,,,X,,,,,,,
Cognitive,Limited executive functions,,,,X,X,,,,X,,,,,X,X,X,,X,,,,X,X,X,,X,,X,,X,X,,,,X,,,,X,X,X,,,,,X,,X,X,X,,X,X,,,,,,,,,,,,,,X,,X,X,,X,,,,X,,,X,,,X,,,,,X,,X,X,,,,,X,,,,,,,,,X,X,,,,X,,,X,,,X,,,,,,,
Cognitive,Limited memory & memory loss,,,,,X,,,,X,,,,,X,,X,,,,,,X,X,X,,,,,,X,X,,,,X,,,,X,X,,,,,,,,X,X,X,,X,X,,,,,,,,,,,,,,,X,X,X,,X,,,,,,,X,,X,X,,,,,X,,x,,,,,,X,X,,,,,,,,,,,,,X,,,X,,,,,,,,,,
Cognitive,Limited social skills ,,,,,,,,,,,,,,X,,,,X,,,,X,X,X,,,,,,,,,,,,,,,X,,X,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,X,X,,,,,,,,,,,,,X,,,,,,,,X,,,X,,,,,,,
Dietary,Dietary needs,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,X,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,
Dietary,Sensitivity to alcohol,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Limited ability to understand implied content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Limited ability to understand number-based concepts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
